GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1007879,WM of NH - TREE (Turnkey Landfill),Gonic,NH,54663,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007884,COVANTA PLYMOUTH RENEWABLE ENERGY LLC,CONSHOHOCKEN,PA,54625,,,,,,C,C,C,C,C,C,C,C,C,C,C
1007887,Richland Peaking Station,DEFIANCE,OH,2880,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1007889,WEST CAMDEN SANITARY LANDFILL,CAMDEN,TN,57409,,,,,,HH,HH,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007891,"WASTE MANAGEMENT OF MISSISSIPPI INC, PRAIRIE BLUFF LANDFILL AND RECYCLING CENTER",HOUSTON,MS,57408,,,,,,HH,HH,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007893,MESQUITE CREEK LANDFILL,NEW BRAUNFELS,TX,57167,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007894,WASTE MANAGEMENT OF TEXAS AUSTIN COMMUNITY RECYCLING & DISPOSAL FACILITY,AUSTIN,TX,56524,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007896,TWO PINE LANDFILL,JACKSONVILLE,AR,56523,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007898,SPRINGHILL REGIONAL LANDFILL,CAMPBELLTON,FL,56522,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007908,Piney Creek Power Plant,CLARION,PA,54144,,,,,Yes,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission
